,price,year,condition,cylinders,odometer,title_status,transmission,drive,size,lat,long,weather
3203,32995,2015,3,6,61252,clean,automatic,4wd,full-size,38.671618,-94.36650999999999,52.0
3204,5500,2007,3,8,112000,clean,automatic,4wd,full-size,39.3009,-76.5799,56.0
3208,10888,2010,2,8,190000,clean,automatic,4wd,full-size,30.520244,-89.647288,61.0
3209,18400,2012,3,8,57000,rebuilt,automatic,4wd,full-size,40.2688,-76.1013,53.0
3210,32995,2015,3,6,85743,clean,automatic,4wd,full-size,38.671618,-94.36650999999999,52.0
3211,11000,2008,3,8,170000,lien,automatic,4wd,full-size,36.4319,-77.1027,56.0
3212,150,2007,2,8,60000,clean,automatic,rwd,full-size,31.1251,-83.4213,59.0
3213,3599,1984,2,8,130000,clean,manual,rwd,full-size,36.0403,-80.1933,56.0
3214,25500,2012,4,8,107803,clean,automatic,4wd,full-size,29.7964,-81.2649,65.0
3215,10900,2005,3,8,99021,clean,automatic,rwd,full-size,30.328942,-81.417677,65.0
3216,11700,2010,2,8,144570,clean,automatic,4wd,full-size,42.892121,-85.665539,45.0
3218,19976,2011,3,6,103311,clean,automatic,4wd,full-size,45.75027100000001,-111.184096,40.0
3219,30999,2015,3,6,58309,clean,automatic,4wd,mid-size,43.78124,-88.50265,45.0
3220,2995,1997,3,8,235900,clean,manual,rwd,full-size,34.952815,-120.446824,59.0
3221,12750,2009,2,8,145000,clean,automatic,4wd,full-size,41.5817,-83.6628,49.0
3222,12900,2011,3,8,218000,clean,automatic,4wd,full-size,30.244314,-89.760504,67.0
3223,11300,2010,2,8,155433,clean,automatic,4wd,full-size,42.483865,-91.47301999999999,47.0
3224,7200,2005,3,8,162092,clean,automatic,4wd,mid-size,42.58998,-83.03095,45.0
3225,6000,2009,2,8,196000,clean,automatic,4wd,full-size,42.9282,-83.6264,45.0
3226,5950,2006,2,8,166983,clean,automatic,4wd,full-size,44.861013,-91.64787700000001,45.0
3227,4900,1998,3,8,75000,clean,automatic,4wd,full-size,35.675663,-80.239248,56.0
3228,33495,2016,3,6,27000,clean,automatic,4wd,full-size,42.069349,-76.122861,53.0
3229,16990,2010,3,8,73285,clean,automatic,4wd,full-size,43.204762,-75.440834,53.0
3230,2500,1996,2,6,175000,clean,automatic,rwd,full-size,36.996585,-93.190258,52.0
3233,1900,2000,2,8,145000,clean,automatic,rwd,full-size,40.6321,-89.6903,48.0
3234,1500,2000,2,8,172000,clean,automatic,4wd,full-size,34.5697,-111.8551,71.0
3235,26495,2013,3,6,65160,clean,automatic,4wd,full-size,38.671618,-94.36650999999999,52.0
